hmid agency_label social_label
0 1 1
1 1 0
2 1 0
3 1 1
4 0 0
5 1 1
6 1 0
8 1 0
12 1 0
13 0 0
14 1 1
18 0 1
21 1 0
22 0 1
23 0 1
24 1 0
25 1 0
26 1 0
27 1 1
28 1 1
29 1 0
30 1 0
31 1 0
32 0 1
33 0 1
34 1 1
35 1 0
36 1 1
37 1 0
38 1 0
39 1 0
40 1 0
41 1 0
42 1 0
43 0 1
44 1 1
45 1 0
46 0 0
47 1 0
48 1 0
49 1 0
50 1 1
51 1 1
52 0 1
53 1 0
54 1 0
55 0 1
56 1 1
60 0 1
61 0 1
62 1 1
66 1 0
67 1 0
68 1 0
69 1 1
70 1 1
71 1 1
72 1 0
73 0 1
75 1 0
76 1 0
77 1 0
81 1 1
82 1 1
83 1 1
84 1 1
85 1 1
86 1 0
87 1 0
88 1 0
91 1 1
92 0 1
95 0 1
97 1 0
99 1 0
100 1 0
101 1 0
105 1 1
108 1 0
109 1 0
110 1 1
111 1 1
112 0 1
113 1 0
114 0 1
115 1 0
116 1 1
117 1 0
118 1 0
119 1 0
120 1 0
121 1 0
126 1 0
127 0 1
128 0 1
129 1 1
130 1 0
131 0 1
132 1 1
133 0 1
134 0 1
135 1 1
136 1 0
138 0 1
139 1 1
140 0 1
141 1 0
142 1 0
143 1 1
144 0 1
145 1 1
146 0 0
147 1 0
148 1 0
149 1 0
150 1 1
151 1 0
152 0 0
155 0 1
156 1 1
157 1 0
158 1 1
159 1 0
160 1 0
162 0 1
163 0 1
164 1 0
165 1 0
166 1 0
167 1 0
168 1 0
169 1 0
170 1 0
171 1 1
172 0 1
173 1 1
174 1 1
175 0 0
176 0 1
177 1 1
178 1 1
179 1 0
180 1 1
181 1 0
182 1 0
183 1 1
184 1 0
185 1 0
186 1 1
187 0 1
188 0 1
189 1 0
190 1 1
191 1 0
192 0 1
193 1 0
194 0 0
195 1 0
196 1 0
197 1 0
198 0 1
199 1 0
201 1 0
204 0 1
205 1 1
206 1 0
207 1 1
208 1 1
209 1 1
216 1 1
217 1 0
218 1 0
219 1 0
220 1 0
221 1 1
222 0 1
223 1 1
224 0 1
228 0 1
229 1 0
230 0 1
231 1 0
232 1 0
233 1 1
234 1 0
235 1 0
236 1 0
237 0 1
238 0 1
239 1 0
240 1 1
241 1 0
242 1 0
243 1 1
244 1 1
245 0 1
246 0 1
247 0 1
248 0 1
249 1 0
250 1 0
251 1 0
252 1 0
253 1 0
254 0 1
255 1 0
256 0 1
257 1 1
258 0 1
259 1 0
260 1 0
261 1 1
262 1 1
263 1 0
264 0 1
265 0 1
266 1 0
267 0 1
268 1 0
269 1 0
270 0 1
271 1 1
272 1 1
276 0 1
277 1 0
278 1 0
279 1 0
282 1 1
283 1 0
284 1 1
285 1 1
286 0 1
287 0 0
288 1 1
289 0 1
290 1 1
291 1 0
292 1 1
293 1 0
297 1 0
301 0 1
302 1 0
303 0 1
304 1 1
305 1 0
306 1 0
307 1 0
308 1 1
309 1 0
310 1 0
311 1 1
312 0 1
313 1 0
314 1 1
315 0 1
316 1 0
317 1 1
319 1 0
320 1 0
321 0 1
322 1 0
323 1 0
327 0 1
328 1 0
329 1 0
330 1 1
331 1 1
332 1 1
333 0 0
334 1 1
335 1 0
337 1 1
338 0 1
340 1 0
341 0 1
342 1 1
343 1 0
344 1 0
346 1 0
347 1 0
348 1 1
349 0 1
350 1 0
351 0 1
352 1 0
353 1 0
354 1 0
355 0 1
356 1 0
363 0 0
364 0 1
365 1 0
366 0 1
367 0 1
368 1 1
369 1 0
370 1 0
371 1 0
372 1 0
373 1 1
374 1 1
375 0 0
376 0 0
381 0 0
382 1 0
